"name","position","category","status","current_team","league","acquisition_type","acquisition_detail","coverage_priority","next_verification"
"Drew Fortescue","D","Current prospect","Signed prospect","New York / Hartford assignment pending","NHL/AHL","Draft","NYR 2023 Rd 3 No. 90","Daily if assigned outside NHL","Confirm 2026-27 roster"
"Gabe Perreault","F","Graduation watch","Signed prospect","New York / Hartford assignment pending","NHL/AHL","Draft","NYR 2023 Rd 1 No. 23","Daily if not full-time NHL","Confirm prospect/graduated cutoff"
"Adam Sykora","F","Graduation watch","Young in-system player","New York / Hartford assignment pending","NHL/AHL","Draft","NYR 2022 Rd 2 No. 63","Daily if not full-time NHL","Confirm 2026-27 roster"
"Noah Laba","F","Graduation watch","Young in-system player","New York / Hartford assignment pending","NHL/AHL","Draft","NYR 2022 Rd 4 No. 111","Daily if not full-time NHL","Confirm 2026-27 roster"
"Dylan Garand","G","Graduation watch","Young in-system goalie","New York / Hartford assignment pending","NHL/AHL","Draft","NYR 2020 Rd 4 No. 103","Daily if not full-time NHL","Confirm 2026-27 roster"
"Brett Berard","F","In-system prospect","Hartford","Hartford Wolf Pack","AHL","Draft","NYR 2020 Rd 5 No. 134","Daily in season","Confirm prospect/graduated cutoff"
"Talyn Boyko","G","In-system prospect","Hartford","Hartford Wolf Pack","AHL","Draft","NYR 2021 Rd 4 No. 112","Daily in season","Confirm goalie tracking source"
"Brendan Brisson","C","In-system prospect","Hartford","Hartford Wolf Pack","AHL","Trade","Acquired from Vegas for Reilly Smith on 2025-03-06; originally VGK 2020 Rd 1 No. 29","Daily in season","Confirm 2026-27 assignment"
"Jackson Dorrington","D","In-system prospect","Hartford","Hartford Wolf Pack","AHL","Trade","Acquired from Vancouver in J.T. Miller trade on 2025-02-01; originally VAN 2022 Rd 6 No. 176","Daily in season","Confirm 2026-27 assignment"
"Brody Lamb","F","In-system prospect","Hartford","Hartford Wolf Pack","AHL","Draft","NYR 2021 Rd 4 No. 104","Daily in season","Confirm 2026-27 assignment"
"Bryce McConnell-Barker","C","In-system prospect","Hartford","Hartford Wolf Pack","AHL","Draft","NYR 2022 Rd 3 No. 97","Daily in season","Confirm 2026-27 assignment"
"Scott Morrow","D","In-system prospect","Hartford","Hartford Wolf Pack","AHL","Trade","Acquired from Carolina for K'Andre Miller on 2025-07-01; originally CAR 2021 Rd 2 No. 40","Daily in season","Confirm 2026-27 assignment"
"Hugo Ollas","G","In-system prospect","ECHL","Bloomington Bison","ECHL","Draft","NYR 2020 Rd 7 No. 197","Daily in season","Confirm goalie tracking source"
"Dylan Roobroeck","C","In-system prospect","Hartford","Hartford Wolf Pack","AHL","Draft","NYR 2023 Rd 6 No. 178","Daily in season","Confirm 2026-27 assignment"
"Carey Terrance","C","In-system prospect","Hartford","Hartford Wolf Pack","AHL","Trade","Acquired from Anaheim for Chris Kreider on 2025-06-12; originally ANA 2023 Rd 2 No. 59","Daily in season","Confirm 2026-27 assignment"
"Callum Tung","G","In-system prospect","ECHL","Bloomington Bison","ECHL","Signing","Undrafted free-agent signing on 2025-04-01","Daily in season","Confirm goalie tracking source"
"Kalle Vaisanen","F","In-system prospect","Hartford","Hartford Wolf Pack","AHL","Draft","NYR 2021 Rd 4 No. 106","Daily in season","Confirm 2026-27 assignment"
"Karl Henriksson","C","Rights verification","European rights","Vaxjo Lakers HC","SHL","Draft","NYR 2019 Rd 2 No. 58","Rights check","Confirm whether Rangers still control NHL rights"
"Lauri Pajuniemi","F","Rights verification","European rights","Malmo Redhawks","SHL","Draft","NYR 2018 Rd 5 No. 132","Rights check","Confirm whether Rangers still control NHL rights"
"Anton Blidh","F","Org depth","Hartford veteran","Hartford Wolf Pack","AHL","Signing","Rangers extension on 2025-04-09","Low","Do not treat as prospect unless definition changes"
"Justin Dowling","C","Org depth","Hartford veteran","Hartford Wolf Pack","AHL","Signing","Veteran/in-system forward","Low","Do not treat as prospect unless definition changes"
"Casey Fitzgerald","D","Org depth","Hartford veteran","Hartford Wolf Pack","AHL","Signing","Veteran/in-system defense","Low","Do not treat as prospect unless definition changes"
"Trey Fix-Wolansky","F","Org depth","Hartford veteran","Hartford Wolf Pack","AHL","Signing","Veteran/in-system forward","Low","Do not treat as prospect unless definition changes"
"Connor Mackey","D","Org depth","Hartford veteran","Hartford Wolf Pack","AHL","Signing","Veteran/in-system defense","Low","Do not treat as prospect unless definition changes"
"Spencer Martin","G","Org depth","Hartford veteran","Hartford Wolf Pack","AHL","Signing","Veteran goalie signing","Low","Do not treat as prospect unless definition changes"
"Juuso Parssinen","C","Prospect definition verify","Young in-system player","Hartford Wolf Pack","AHL","Trade","Acquired from Colorado on 2025-03-01","Medium","Decide org-depth vs prospect"
"Brandon Scanlin","D","Org depth","Hartford veteran","Hartford Wolf Pack","AHL","Signing","In-system defense","Low","Do not treat as prospect unless definition changes"
"Aidan Thompson","F","Prospect definition verify","Young in-system player","AHL assignment verify","AHL","Trade","Acquired from Chicago for Derrick Pouliot on 2026-03-06; originally CHI 2022 Rd 3 No. 90","Medium","Confirm current assignment"
"Vincent Iorio","D","Prospect definition verify","Young in-system player","NHL/AHL assignment verify","NHL/AHL","Waiver claim","Claimed off waivers on 2026-01-31; originally WSH 2021 Rd 2 No. 55","Medium","Confirm current assignment"
"Tye Kartye","F","Org depth","NHL/AHL depth","NHL/AHL assignment verify","NHL/AHL","Waiver claim","Claimed off waivers on 2026-02-27","Low","Track only if project covers all young depth"
"Brennan Othmann","F","Former prospect","Traded","Calgary organization","NHL/AHL","Draft","NYR 2021 Rd 1 No. 16; traded to Calgary for Jacob Battaglia on 2026-03-06","Archive","Add former prospect profile"
"Victor Mancini","D","Former prospect","Traded","Vancouver organization","NHL/AHL","Draft","NYR 2022 Rd 5 No. 159; traded to Vancouver in J.T. Miller deal on 2025-02-01","Archive","Add former prospect profile"
"Hank Kempf","D","Former prospect","Rights traded","Colorado organization","NCAA/rights","Draft","NYR 2021 Rd 7 No. 208; rights traded to Colorado on 2025-03-01","Archive","Add former prospect profile"
"Will Cuylle","F","Graduated","Established NHL regular","New York Rangers","NHL","Draft","NYR 2020 Rd 2 No. 60","Archive","Add graduated profile"
"Braden Schneider","D","Graduated","Established NHL regular","New York Rangers","NHL","Draft","NYR 2020 Rd 1 No. 19","Archive","Add graduated profile"
"Matt Rempe","F","Graduated watch","NHL regular / verify","New York Rangers","NHL","Draft","NYR 2020 Rd 6 No. 165","Archive","Confirm graduation cutoff"
"Alexis Lafreniere","F","Graduated","Established NHL regular","New York Rangers","NHL","Draft","NYR 2020 Rd 1 No. 1","Archive","Add graduated profile"
"New York Rangers No. 5 pick","Pick","Draft watch","Rangers 2026 first-round pick","N/A","NHL Draft","Draft pick","Own first-round pick, No. 5 in 2026 order","High","Track mock drafts and final selection"
"New York Rangers No. 26 pick","Pick","Draft watch","Rangers 2026 first-round pick","N/A","NHL Draft","Draft pick","From Dallas via Carolina in K'Andre Miller trade, No. 26 in 2026 order","High","Track mock drafts and final selection"
"Gavin McKenna","LW","Draft watch","Projected top five","Penn State","NCAA","2026 draft eligible","Daily Faceoff rank No. 1; NHL Central Scouting No. 1 North American skater","High","Track if available at top of draft"
"Ivar Stenberg","LW","Draft watch","Projected top five","Frolunda","SHL","2026 draft eligible","Daily Faceoff rank No. 2; NHL Central Scouting No. 1 International skater","High","Track top-five board movement"
"Chase Reid","RHD","Draft watch","Projected top five","Soo Greyhounds","OHL","2026 draft eligible","Daily Faceoff rank No. 3; NHL Central Scouting No. 2 North American skater","High","Track top-five board movement"
"Carson Carels","LHD","Draft watch","Projected top five","Prince George Cougars","WHL","2026 draft eligible","Daily Faceoff rank No. 4; NHL Central Scouting No. 3 North American skater","High","Track top-five board movement"
"Caleb Malhotra","C","Draft watch","Projected top five","Brantford Bulldogs","OHL","2026 draft eligible","Daily Faceoff rank No. 5; NHL.com mock No. 3 to Vancouver","High","Track Rangers No. 5 possibility"
